Facility,Material,Proton beam (MeV),Current (avg) (mA),Power (kW),N yield (n/s),Duty Cycle,Rotating Target,Target Thickness (um),Target Design,Accelerator Type,Where,Notes,Refs,Column1
VITA (BINP),Li7,1.90,9,17.1,8.90E+12,,N,84,"evaporated Li on Cu disc 10cm d,, water-cooled 4 m/s. Thin Li target variable thickness",electrostatic,Russia," (Vacuum-insulated tandem accl.) 9.5E11 /mC at 2MeV. ""With an accuracy of 7% it is possible to state that target irradiation to a
fluence exceeding the blistering fluence by almost a factor of 200 did
not cause degradation of the neutron yield.""","https://bnct.inp.nsk.su/publics/2006/10051_Taskaev.pdf
https://www.sciencedirect.com/science/article/pii/S0168583X20303736?via%3Dihub",
Linac Sys.,Li7,2.50,20,50,1.60E+13,,N,50,"Conical target design, layers 50 um Li, 10 um electroplated Pd, Cu with flows for water-coolant 80 kg/min",RF,"Alberquque, new mexico USA, ","yield reported at 8E14 n/A/s. Linac Sys., New Mexico, (now Ion Linac Systems)",https://accelconf.web.cern.ch/LINAC08/papers/mop063.pdf,
KUANS,Be9,3.50,0.1,0.35,1.00E+11,"pulse width 50 us, rep rate 100 Hz",N,50,Thin circular foil on Nb plate,425 MHz RFQ,"Kyoto university, Japan",,"https://www-nh.scphys.kyoto-u.ac.jp/en/activity-wp/kuans/
https://www.jcans.net/kuans.html",
KURNS (CBNS),Be9,30.00,1,30,1.00E+13,,N,5799,"Thin (30 MeV protons still go through) Be plate, cooling water back.",cyclotron,"Kyoto university, Japan",CBNS (cyclotron based neutron source) are supplied to S. Tohoku and Kansai hospital/research centers as well as Kyoto.,"https://doi.org/10.1016/j.nima.2022.167425
https://www-pub.iaea.org/MTCD/Publications/PDF/CRCP-BOR-002_web.pdf",
SARAF-II ,Li7,1.90,1.2,2.28,2.70E+10,cw,Y (Jet),1800,Film of liquid Li jet velocity 10m/s onto a concave thin steel wall,175 MHz RFQ,Israel,"Expected operation of 6000hrs/yr, liquid target used to extend lifetime and give immunity to blistering and hydrogen implantation effects. (Soreq NRC, Israel)","http://dx.doi.org/10.1016/j.nima.2012.09.027
https://arxiv.org/ftp/arxiv/papers/1801/1801.06493.pdf",
HF-ADNeF,Li7,2.60,30,78,3.17E+13,,Y,,,electrostatic,Birmingham University UK,,https://iopscience.iop.org/article/10.1088/1748-0221/17/10/C10010,
NUANS,Li7,2.80,15,42,1.00E+13,,N,600,"beam is isotropic 8cm square, reducing heat load to 6.6 MW/m2",electrostatic,Nagoya university Japan,,https://www.sciencedirect.com/science/article/pii/S0168900222007057?via%3Dihub,
RANS (RIKEN),Be9,7.00,0.1,0.7,1.00E+12,1.3% 10-180us pulse 20-180Hz,N,,,425 MHz RF,Japan,,https://ucans10.org/wp-content/uploads/2023/11/231017-UCANS10_Y_OTAKE-RIKEN-ENG_presen_file-.pdf,
RANS2 (RIKEN),Li7,2.50,0.1,0.25,1.00E+11,3.3% 1.1 ms pulse,N,100,"100 um Li thickness, Cu water-cooled back plate. Target CrN coated.",200 MHz RFQ,Japan,Li > Be shielding thickness reduced as lower energy n. Strong forward direction of n yield - useful.,https://ucans10.org/wp-content/uploads/2023/11/231017-UCANS10_Y_OTAKE-RIKEN-ENG_presen_file-.pdf,
RANS3 (RIKEN),Li7,2.50,0.1,0.25,1.00E+11,1%,N,,,500 MHz RFQ,Japan,,https://ucans10.org/wp-content/uploads/2023/11/231017-UCANS10_Y_OTAKE-RIKEN-ENG_presen_file-.pdf,
FRANZ,Li7,2.00,2,4,1.00E+11,cw and 1ns pulse 250kHz repeat modes,N,,"Li evaporated onto Cu, water-cooled.",175 MHz RFQ+DTL,"Frankfurt University, Germany",,"https://doi.org/10.18429/JACoW-IPAC2015-TUXB1
https://accelconf.web.cern.ch/ipac10/papers/mopec059.pdf",
