#
#name:   ENDF/B-VIII.0: BE-9(P,N`)B-9-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  28
#data...
#            X            Y
#          MeV        barns
        2.0577            0 
           2.2         0.01 
           2.5        0.045 
           2.7         0.13 
           2.8         0.08 
             3        0.095 
           3.5        0.085 
             4         0.12 
           4.3        0.156 
             5        0.116 
           5.5        0.113 
             6        0.093 
           6.5        0.079 
             7        0.076 
           7.3        0.071 
             8       0.0503 
            10       0.0405 
            12       0.0365 
            14       0.0296 
            16       0.0257 
            18       0.0237 
            20       0.0223 
            30        0.032 
            40        0.026 
            50         0.01 
            75        0.006 
           100        0.004 
           113        0.003 
