#
#name:   ENDF/B-VIII.0: LI-7(P,N`)BE-7-L1
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  93
#data...
#            X            Y
#          MeV        barns
       2.37117            0 
       2.37117       1.2e-5 
         2.391     0.001507 
         2.393     0.003219 
         2.409     0.004517 
          2.41     0.005373 
         2.418     0.006236 
         2.438     0.006892 
         2.458      0.00819 
         2.476     0.009702 
         2.516      0.01165 
         2.546      0.01317 
         2.555      0.01425 
         2.593      0.01685 
         2.611        0.019 
          2.64      0.02073 
         2.656      0.02417 
         2.697      0.02548 
         2.725      0.02786 
         2.744      0.02937 
         2.752      0.03087 
         2.778      0.03261 
         2.782      0.03496 
         2.816      0.03777 
         2.844      0.04036 
         2.874      0.04188 
         2.879      0.04531 
         2.919      0.04705 
         2.935      0.05027 
         2.964      0.05222 
         2.994      0.05374 
         3.002      0.05546 
         3.042      0.05677 
         3.061      0.05828 
         3.113      0.05896 
         3.165      0.05985 
          3.25      0.06033 
         3.294      0.05907 
         3.338      0.05867 
         3.391       0.0587 
         3.457      0.05767 
         3.534       0.0573 
         3.577      0.05561 
         3.622      0.05435 
         3.679      0.05203 
         3.766      0.05101 
         3.819      0.05083 
         4.024      0.04925 
         4.057      0.04884 
         4.218       0.0483 
         4.262      0.04725 
         4.317      0.04643 
          4.36      0.04624 
         4.404      0.04541 
         4.479      0.04503 
         4.576      0.04424 
          4.64      0.04406 
           4.8      0.04395 
         4.833      0.04354 
         4.899      0.04251 
             5      0.03977 
           5.2      0.03886 
           5.4      0.03813 
           5.7       0.0373 
             6       0.0367 
           6.6       0.0359 
           7.1      0.03523 
           7.4      0.03469 
           7.7      0.03402 
           8.1      0.03286 
           8.4       0.0318 
           8.8      0.03013 
           9.2      0.02821 
           9.6      0.02609 
          10.5      0.02104 
            11      0.01847 
          11.5      0.01621 
            12      0.01429 
          12.5      0.01271 
            13      0.01142 
          13.5       0.0104 
            14       0.0096 
          14.5      0.00901 
            15      0.00859 
          15.5      0.00832 
            16       0.0082 
          16.5      0.00817 
            17      0.00822 
          17.5      0.00831 
          18.5      0.00855 
            19      0.00865 
          19.5      0.00872 
            20      0.00876 
