DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,ERR-T (B) 0.911,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
A0336002,1987,N.V.Eremin+,5.4e-6,1.3e-6,,9.87e+5,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,8.0e-7,1.3e-6,,1.003e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,6.3e-6,1.3e-6,,1.02e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,5.3e-6,1.3e-6,,1.039e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.07e-5,1.3e-6,,1.072e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,3.4e-6,1.3e-6,,1.093e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,8.0e-6,1.3e-6,,1.107e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.43e-5,1.3e-6,,1.116e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.398e-4,1.3e-6,,1.118e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,8.52e-5,1.3e-6,,1.124e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,2.6e-4,1.3e-6,1.0e-5,1.144e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.66e-4,1.3e-6,,1.168e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.188e-4,1.3e-6,,1.171e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.315e-4,1.3e-6,,1.18e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.324e-4,1.3e-6,,1.199e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.733e-4,1.3e-6,,1.209e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.987e-4,1.3e-6,,1.221e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.905e-4,1.3e-6,,1.231e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.514e-4,1.3e-6,,1.257e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.55e-4,1.3e-6,,1.268e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
