DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (PER-CENT) 0.911,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
T00160021,1991,M.L.Firouzbakht+,0.003,10,2.09e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.004,10,2.79e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.02,10,3.18e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.031,10,3.43e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.043,10,3.68e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.037,10,3.92e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.069,10,4.28e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.082,10,4.51e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.102,10,4.74e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.121,10,4.97e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.085,10,5.2e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.102,10,5.43e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.11,10,5.65e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.121,10,5.76e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.061,10,5.87e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.145,10,5.98e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.16,10,6.09e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.166,10,6.2e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.161,10,6.31e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
