DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,EN-CM (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D0696003,1981,H.J.Gardner+,1.559e-4,3.893e-5,1.42665e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,2.367e-4,3.018e-5,1.45722e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,5.381e-4,5.809e-5,1.49798e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,5.863e-4,6.911e-5,1.53875e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,6.149e-4,5.753e-5,1.57951e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.001336,1.148e-4,1.62027e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.003133,2.305e-4,1.66103e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.002134,2.096e-4,1.70179e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.00201,1.971e-4,1.74255e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.002489,2.24e-4,1.78331e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.004338,4.08e-4,1.82408e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.004048,3.81e-4,1.86484e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.004538,4.094e-4,1.89541e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.007264,3.181e-4,1.93617e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.00762,2.691e-4,1.97693e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.009352,4.503e-4,2.01769e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.01159,7.064e-4,2.05845e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.01193,7.276e-4,2.09922e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.01859,0.001132,2.13998e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.01681,6.662e-4,2.18074e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.02018,9.747e-4,2.2215e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.01978,9.524e-4,2.26226e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.02539,0.001331,2.30302e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.03076,0.001219,2.34379e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
D0696003,1981,H.J.Gardner+,0.03933,0.001392,2.39474e+6,24053,24-CR-53,P,N,25-MN-53,3,4,CS,CS,1,2,"24-CR-53(P,N)25-MN-53,,SIG"
