DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C0551003,1999,C.R.Brune+,0.081537,0.00466,1.03354e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.094262,0.0029933,1.04004e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.10446,0.0023377,1.04689e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.1185,0.0016696,1.06095e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.12644,0.0014517,1.06981e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.14026,0.0011358,1.08981e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.15416,9.3081e-4,1.11488e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.16502,8.1561e-4,1.13997e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.17529,6.9597e-4,1.16507e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.18381,6.6128e-4,1.19017e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.20172,6.0306e-4,1.24037e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.22038,5.9562e-4,1.29056e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.2395,5.5951e-4,1.34074e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.23916,5.6302e-4,1.34074e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.24019,6.7585e-4,1.34074e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.26108,5.7906e-4,1.39091e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.27873,5.7353e-4,1.44108e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.29611,5.7576e-4,1.49123e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.31146,5.8337e-4,1.54137e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.32346,5.5537e-4,1.59151e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.33424,5.7345e-4,1.64165e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.34354,6.0054e-4,1.69179e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.35559,6.103e-4,1.74191e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.35856,6.0107e-4,1.79203e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.37228,6.3892e-4,1.84216e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.38043,6.3765e-4,1.89227e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.39287,6.3717e-4,1.94238e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.39986,6.6826e-4,1.99249e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.39579,5.8181e-4,1.99249e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.40721,6.8526e-4,2.04254e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.41315,7.3808e-4,2.09264e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.42846,7.8582e-4,2.14273e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.44245,7.9474e-4,2.19284e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.44653,8.1299e-4,2.24293e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.45973,8.5886e-4,2.29302e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.46758,8.8976e-4,2.34311e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.47243,8.9533e-4,2.39319e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.48706,9.2102e-4,2.44328e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.49247,9.4945e-4,2.49336e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.50944,0.0010291,2.54344e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.5119,9.9423e-4,2.59351e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.50937,0.0010379,2.64358e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.51329,0.0011067,2.69365e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.51996,0.0011493,2.74373e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.5221,0.0012678,2.7938e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.52434,0.0013067,2.84387e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.52765,0.0013475,2.89393e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.53242,0.0014466,2.94399e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.53885,0.0015584,2.99406e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.53423,0.0014683,2.99406e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.53426,0.0015052,2.99406e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.52923,0.0015761,3.04412e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.53071,0.0016718,3.09418e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.52941,0.0017926,3.14423e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.52631,0.0019314,3.19429e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.5238,0.0020838,3.24435e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.5119,0.0022253,3.2944e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.51325,0.002394,3.34446e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.51594,0.0025534,3.39451e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.50795,0.0027519,3.44456e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.50315,0.0029566,3.49461e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.50143,0.0031782,3.54465e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.49564,0.0034181,3.59471e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.49478,0.0036761,3.64474e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.49023,0.003957,3.69479e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.48168,0.0042517,3.74484e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.47843,0.0045724,3.79489e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.47202,0.0048993,3.84493e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.46939,0.0052664,3.89497e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.46452,0.0056586,3.94501e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.46424,0.0060759,3.99505e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.45666,0.0065101,4.04509e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.46209,0.0069853,4.09513e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.45332,0.007474,4.14517e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.45242,0.0080038,4.19521e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.45258,0.008569,4.24525e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.44069,0.0091562,4.29528e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.44255,0.0097893,4.34531e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.42508,0.010456,4.39536e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.43213,0.011165,4.44538e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.4234,0.011916,4.49543e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
C0551003,1999,C.R.Brune+,0.42533,0.011911,4.49543e+6,500,1003,1-H-3,P,N,2-HE-3,3,4,CS,CS,1,2,"1-H-3(P,N)2-HE-3,,SIG"
