DatasetID,year1,author1,DATA (B) 0.1,ERR-SYS (PER-CENT) 0.955,EN-CM (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
A0392009,1986,M.E.Sevior+,5.6e-5,16,1.26539e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,3.54e-4,16,1.291e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,5.27e-4,16,1.33199e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,7.79e-4,16,1.37297e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00122,16,1.41395e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,7.71e-4,16,1.45494e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,9.08e-4,16,1.49592e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00241,16,1.53691e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.004,16,1.57789e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00491,16,1.61887e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00351,16,1.65986e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00518,16,1.70084e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00389,16,1.74183e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00479,16,1.78281e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00533,16,1.8238e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0102,16,1.86478e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0356,16,1.90576e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0125,16,1.94675e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0127,16,1.98773e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00715,16,2.02872e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0073,16,2.0697e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.014,16,2.11068e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0127,16,2.15167e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0179,16,2.19265e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0186,16,2.23364e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0194,16,2.27462e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.00916,16,2.31561e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.022,16,2.35659e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0169,16,2.39757e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0148,16,2.43856e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0374,16,2.47954e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0172,16,2.52053e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0341,16,2.56151e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0305,16,2.60249e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0232,16,2.64348e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0229,16,2.68446e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0294,16,2.72545e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0403,16,2.76643e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0527,16,2.80742e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0413,16,2.8484e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0492,16,2.88938e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0381,16,2.93037e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0764,16,2.97135e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
A0392009,1986,M.E.Sevior+,0.0453,16,3.01234e+6,19041,19-K-41,P,N,20-CA-41,3,4,CS,CS,1,2,"19-K-41(P,N)20-CA-41,,SIG"
