DatasetID,year1,author1,DATA (B) 0.1,ERR-S (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-SYS (PER-CENT) 0.955,EN (EV) 1.1,FLAG (NO-DIM) 777,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
F1322002,2017,L.N.Generalov+,0.2737,3,0.5,0.6,0.8,1.947e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2936,3.8,0.5,0.6,0.8,1.947e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2803,1.3,0.5,0.6,0.8,2.666e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2926,6.4,0.5,0.6,0.8,2.666e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2952,1.9,0.5,0.6,0.8,3.3e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.295,3.5,0.5,0.6,0.8,3.3e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2987,2.9,0.5,0.6,0.8,3.96e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.3086,2.2,0.5,0.6,0.8,3.96e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.3738,1.2,0.5,0.6,0.8,4.56e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.3805,1.3,0.5,0.6,0.8,4.56e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.4127,1.4,0.5,0.6,0.8,5.14e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.43,4,0.5,0.6,0.8,5.14e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2965,1.3,0.5,0.6,0.8,5.78e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2998,3.1,0.5,0.6,0.8,5.78e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2243,3.6,0.5,0.6,0.8,6.35e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.2383,7.2,0.5,0.6,0.8,6.35e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1913,1.5,0.5,0.6,0.8,6.91e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.18,3.1,0.5,0.6,0.8,6.91e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1474,2.5,0.5,0.6,0.8,7.46e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1509,9.6,0.5,0.6,0.8,7.46e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1253,2.7,0.5,0.6,0.8,7.76e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1277,3.4,0.5,0.6,0.8,7.76e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1149,1.1,0.5,0.6,0.8,8.0e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1,4.6,0.5,0.6,0.8,8.0e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.1019,4.2,0.5,0.6,0.8,8.64e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.0963,7.2,0.5,0.6,0.8,8.64e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.0766,2.5,0.5,0.6,0.8,9.09e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.0752,6.3,0.5,0.6,0.8,9.09e+6,2,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
F1322002,2017,L.N.Generalov+,0.0815,2,0.5,0.6,0.8,9.62e+6,1,3007,3-LI-7,P,N,4-BE-7,3,4,CS,CS,1,2,"3-LI-7(P,N)4-BE-7,,SIG"
