DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D4095002,2001,E.Hess+,0.0036,4.0e-4,1,5,5,5,2.43e+6,2.3e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0046,5.0e-4,1,5,5,5,2.52e+6,2.3e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0135,0.0016,1,5,5,5,2.56e+6,1.2e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0059,7.0e-4,1,5,5,5,2.65e+6,2.1e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0081,0.001,1,5,5,5,2.75e+6,2.1e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0069,8.0e-4,1,5,5,5,2.77e+6,1.1e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0094,0.001,1,5,5,5,2.85e+6,1.2e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0254,0.003,1,5,5,5,2.86e+6,2.8e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0257,0.003,1,5,5,5,2.91e+6,1.6e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0301,0.0035,1,5,5,5,2.97e+6,2.1e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0473,0.0056,1,5,5,5,3.07e+6,1.9e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0558,0.0066,1,5,5,5,3.13e+6,1.9e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0512,0.006,1,5,5,5,3.18e+6,2.6e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0455,0.0054,1,5,5,5,3.28e+6,1.4e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0402,0.0047,1,5,5,5,3.34e+6,2.5e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0453,0.0053,1,5,5,5,3.43e+6,1.4e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0311,0.0037,1,5,5,5,3.49e+6,1.8e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0317,0.0037,1,5,5,5,3.49e+6,1.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.069,0.0112,1,5,5,5,3.54e+6,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0347,0.0041,1,5,5,5,3.59e+6,1.8e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.067,0.0082,1,5,5,5,3.62e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.035,0.0041,1,5,5,5,3.65e+6,1.7e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0602,0.0071,1,5,5,5,3.69e+6,1.8e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0473,0.0056,1,5,5,5,3.69e+6,9.0e+4,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0883,0.0104,1,5,5,5,3.8e+6,1.7e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0456,0.0074,1,5,5,5,3.85e+6,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0923,0.0109,1,5,5,5,3.87e+6,1.9e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.175,0.0255,1,5,5,5,4.19e+6,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1462,0.0238,1,5,5,5,4.3e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2217,0.0324,1,5,5,5,4.56e+6,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1788,0.0262,1,5,5,5,4.57e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2653,0.0426,1,5,5,5,4.59e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2025,0.0296,1,5,5,5,4.81e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2183,0.0257,1,5,5,5,4.91e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2193,0.0262,1,5,5,5,4.96e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.5859,0.0855,1,5,5,5,5.02e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.3926,0.0574,1,5,5,5,5.04e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.412,0.0601,1,5,5,5,5.25e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4586,0.0541,1,5,5,5,5.35e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4046,0.065,1,5,5,5,5.46e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4941,0.0721,1,5,5,5,5.65e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2584,0.0305,1,5,5,5,5.85e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2485,0.0363,1,5,5,5,5.94e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2506,0.0408,1,5,5,5,6.12e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
