DatasetID,year1,author1,DATA (B) 0.1,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
B0076006,1952,N.M.Hintz+,0.0053,1.0e+5,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0073,8.9e+6,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.065,1.25e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0578,1.38e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0495,1.45e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0391,1.92e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0368,2.16e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0228,2.29e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0171,2.63e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0139,2.66e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0151,2.75e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0137,2.91e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0106,3.19e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0089,3.46e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0076,4.1e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0061,4.1e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0058,4.63e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0052,4.76e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0052,5.3e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0055,6.06e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0047,6.32e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0046,7.15e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0045,7.27e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0037,8.37e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0031,8.5e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0026,9.16e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0038,9.33e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
B0076006,1952,N.M.Hintz+,0.0032,9.45e+7,16034,16-S-34,P,N,17-CL-34-M,3,4,CS,CS,1,2,"16-S-34(P,N)17-CL-34-M,,SIG,,,EXP"
