DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D0680003,1980,S.R.Kennett+,1.65e-4,7.22e-5,3,8,2,1.43e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,6.55e-4,1.68e-4,3,8,2,1.45e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,7.65e-4,1.38e-4,3,8,2,1.48e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00181,1.98e-4,3,8,2,1.51e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00156,1.89e-4,3,8,2,1.54e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00192,2.1e-4,3,8,2,1.57e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00285,3.78e-4,3,8,2,1.6e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00409,4.01e-4,3,8,2,1.63e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00478,4.14e-4,3,8,2,1.66e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00601,5.2e-4,3,8,2,1.69e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00493,3.71e-4,3,8,2,1.72e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00422,,3,8,2,1.75e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00513,3.87e-4,3,8,2,1.79e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00625,,3,8,2,1.81e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00644,,3,8,2,1.84e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00637,,3,8,2,1.87e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00714,,3,8,2,1.91e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.00916,,3,8,2,1.94e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
