DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C0627003,1980,J.L.Zyskind+,1.62e-4,1.8e-5,1.583e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,5.6e-4,3.4e-5,1.611e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,7.3e-4,3.4e-5,1.642e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,9.0e-4,4.3e-5,1.691e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00142,5.4e-5,1.743e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00181,6.1e-5,1.793e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00217,4.9e-5,1.844e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00237,,1.895e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00298,,1.946e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00407,,1.998e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00478,,2.048e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00504,,2.099e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00802,,2.148e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.00947,,2.248e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0165,,2.299e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0124,,2.35e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0107,,2.4e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0113,,2.451e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0166,,2.502e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0212,,2.552e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
