#ZVView-data-copy:   7-May-2024 12:50:51
#=======================================
#
#name:   ENDF/B-VIII.0: LI-7(P,N`)BE-7-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  152
#data...
#            X            Y
#          MeV        barns
       1.88043            0 
       1.88083      0.00025 
        1.8834       0.0344 
        1.8863       0.1083 
        1.8893       0.1766 
        1.8922       0.2191 
        1.8981       0.2616 
        1.9011       0.2728 
         1.904       0.2808 
         1.907       0.2842 
        1.9367       0.2819 
        1.9427       0.2817 
        1.9487       0.2795 
        1.9727       0.2734 
        1.9848       0.2746 
        1.9969       0.2748 
        2.0091       0.2747 
        2.0212       0.2783 
        2.0335       0.2805 
         2.058       0.2882 
        2.0642       0.2925 
        2.0827       0.3022 
        2.0889       0.3066 
        2.0951       0.3128 
        2.1013       0.3162 
        2.1075       0.3217 
          2.12       0.3347 
        2.1325       0.3526 
        2.1451       0.3683 
        2.1577       0.3931 
        2.1703       0.4193 
        2.1829       0.4533 
        2.2084        0.514 
        2.2211       0.5427 
        2.2339       0.5657 
        2.2468       0.5764 
        2.2597       0.5781 
        2.2726       0.5704 
        2.2855       0.5456 
        2.2985       0.5256 
        2.3246       0.4702 
        2.3377       0.4518 
          2.35       0.4302 
          2.38       0.4058 
          2.42       0.3708 
          2.44       0.3526 
          2.46       0.3422 
          2.49       0.3296 
           2.5       0.3248 
          2.52       0.3179 
          2.53       0.3154 
          2.54       0.3118 
          2.56       0.3073 
          2.58       0.3035 
           2.6       0.2993 
          2.63       0.2933 
          2.64       0.2925 
           2.7       0.2838 
          2.71       0.2815 
          2.72       0.2802 
          2.73       0.2769 
          2.75       0.2752 
          2.77        0.271 
          2.86       0.2659 
          2.93       0.2609 
             3       0.2548 
          3.01       0.2543 
          3.02        0.253 
          3.05       0.2515 
          3.08       0.2487 
           3.1       0.2479 
          3.14        0.245 
          3.15       0.2437 
          3.16       0.2429 
          3.17        0.243 
          3.21       0.2414 
          3.27       0.2366 
          3.28       0.2364 
          3.32       0.2366 
          3.33       0.2365 
          3.34       0.2366 
          3.36       0.2365 
          3.38       0.2366 
           3.4       0.2365 
          3.41       0.2366 
          3.43       0.2365 
          3.44       0.2367 
          3.46       0.2365 
           3.5       0.2368 
          3.52       0.2361 
          3.55       0.2364 
          3.57       0.2356 
          3.58       0.2356 
          3.59       0.2359 
           3.6       0.2357 
          3.61       0.2359 
          3.66        0.234 
          3.67       0.2341 
          3.68       0.2339 
          3.69        0.234 
           3.7       0.2337 
             4         0.25 
           4.1        0.257 
           4.2        0.268 
           4.3        0.284 
           4.4        0.304 
           4.6        0.346 
           4.7        0.364 
           4.8        0.376 
           4.9         0.38 
             5        0.377 
           5.1        0.367 
           5.2        0.353 
           5.3        0.335 
           5.4        0.315 
           5.5        0.294 
           5.6        0.274 
           5.7        0.253 
           5.8        0.235 
           5.9        0.218 
             6        0.203 
           6.1         0.19 
           6.2        0.179 
           6.3         0.17 
           6.4        0.162 
           6.7        0.141 
           6.8        0.135 
           7.2        0.107 
           7.5        0.092 
           7.8         0.08 
             8        0.074 
           8.1        0.072 
           8.2        0.069 
           8.7        0.059 
           8.8        0.058 
           8.9        0.056 
           9.1        0.054 
           9.2        0.052 
           9.8        0.046 
           9.9        0.046 
            10        0.045 
          10.5        0.041 
            11        0.038 
            13         0.03 
          16.5        0.023 
            17        0.023 
          17.5        0.022 
            18        0.022 
          18.5        0.021 
            19        0.021 
          19.5         0.02 
            20         0.02 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.0: LI-7(P,N`)BE-7-L1
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  93
#data...
#            X            Y
#          MeV        barns
       2.37117            0 
       2.37117       1.2e-5 
         2.391     0.001507 
         2.393     0.003219 
         2.409     0.004517 
          2.41     0.005373 
         2.418     0.006236 
         2.438     0.006892 
         2.458      0.00819 
         2.476     0.009702 
         2.516      0.01165 
         2.546      0.01317 
         2.555      0.01425 
         2.593      0.01685 
         2.611        0.019 
          2.64      0.02073 
         2.656      0.02417 
         2.697      0.02548 
         2.725      0.02786 
         2.744      0.02937 
         2.752      0.03087 
         2.778      0.03261 
         2.782      0.03496 
         2.816      0.03777 
         2.844      0.04036 
         2.874      0.04188 
         2.879      0.04531 
         2.919      0.04705 
